ham,method,seed,energy_opt,exact_E,gap,n_circuits,n_steps,wall_time
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,15,-14.00719,-15.276131,1.268942,16200,200,84.122
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),15,-14.073686,-15.276131,1.202445,16200,200,84.216
"XXZ (Jxy=1, Jz=0.5, h=0.1)",COBYLA,15,-12.848469,-15.276131,2.427662,200,200,1.628
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SPSA,15,-10.868126,-15.276131,4.408005,600,200,2.841
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Diag-QNG,15,-13.961272,-15.276131,1.314859,24400,200,117.118
"XXZ (Jxy=1, Jz=0.5, h=0.1)",QN-SPSA,15,0.244702,-15.276131,15.520833,1000,200,4.727
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,16,-14.078807,-15.276131,1.197324,16200,200,83.923
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),16,-14.196794,-15.276131,1.079337,16200,200,84.171
"XXZ (Jxy=1, Jz=0.5, h=0.1)",COBYLA,16,-11.286712,-15.276131,3.98942,200,200,1.686
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SPSA,16,-4.715822,-15.276131,10.560309,600,200,2.809
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Diag-QNG,16,-13.947074,-15.276131,1.329057,24400,200,116.039
"XXZ (Jxy=1, Jz=0.5, h=0.1)",QN-SPSA,16,0.98262,-15.276131,16.258751,1000,200,4.729
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,17,-14.095396,-15.276131,1.180735,16200,200,84.189
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),17,-12.58343,-15.276131,2.692701,16200,200,83.87
"XXZ (Jxy=1, Jz=0.5, h=0.1)",COBYLA,17,-8.76279,-15.276131,6.513341,200,200,1.654
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SPSA,17,-6.362948,-15.276131,8.913183,600,200,2.785
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Diag-QNG,17,-12.993918,-15.276131,2.282213,24400,200,116.214
"XXZ (Jxy=1, Jz=0.5, h=0.1)",QN-SPSA,17,1.179819,-15.276131,16.45595,1000,200,4.694
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,18,-14.20464,-15.276131,1.071491,16200,200,84.036
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),18,-14.205036,-15.276131,1.071095,16200,200,84.547
"XXZ (Jxy=1, Jz=0.5, h=0.1)",COBYLA,18,-6.830975,-15.276131,8.445156,200,200,1.653
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SPSA,18,-4.783716,-15.276131,10.492415,600,200,2.881
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Diag-QNG,18,-14.176384,-15.276131,1.099747,24400,200,116.488
"XXZ (Jxy=1, Jz=0.5, h=0.1)",QN-SPSA,18,1.272976,-15.276131,16.549107,1000,200,4.778
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SIGMA-QGD v9.0,19,-14.067408,-15.276131,1.208724,16200,200,84.679
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Adam (best),19,-14.127873,-15.276131,1.148258,16200,200,83.863
"XXZ (Jxy=1, Jz=0.5, h=0.1)",COBYLA,19,-10.35659,-15.276131,4.919541,200,200,1.767
"XXZ (Jxy=1, Jz=0.5, h=0.1)",SPSA,19,-4.75431,-15.276131,10.521821,600,200,2.852
"XXZ (Jxy=1, Jz=0.5, h=0.1)",Diag-QNG,19,-13.935975,-15.276131,1.340156,24400,200,116.224
"XXZ (Jxy=1, Jz=0.5, h=0.1)",QN-SPSA,19,1.736317,-15.276131,17.012448,1000,200,4.713
